user_id,age,city,income,signup_ts
1,39.0,Istanbul,10211.941755509062,2023-11-13 18:57:14
2,23.0,Gaziantep,4777.989527353889,2024-12-08 12:56:42
3,44.0,Ankara,5770.831475063665,2024-05-18 13:18:54
4,46.0,Ankara,7830.0994674451,2023-10-21 12:05:13
5,15.0,Konya,4084.9730014398247,2023-06-15 15:50:27
6,19.0,Bursa,3919.8538657424124,2025-04-22 19:42:34
7,37.0,Unknown,4843.442831471443,2023-01-13 23:12:02
8,31.0,Adana,13716.233566993156,2023-09-19 13:53:49
9,35.0,Ankara,3004.7179692349073,2025-03-08 10:48:54
10,25.0,Ankara,7903.44244266326,2025-05-17 09:52:04
11,46.0,Izmir,8140.6412970880365,2023-03-10 14:04:29
12,44.0,Bursa,18642.160766266148,2025-04-21 12:03:25
13,36.0,Izmir,22921.79033188029,2024-08-15 19:49:13
14,49.0,Bursa,3705.565322019378,2025-07-10 23:33:42
15,41.0,Unknown,9790.589177491524,2025-08-19 05:03:34
16,25.0,Izmir,4729.531123459472,2024-09-24 20:42:39
17,39.0,Izmir,8970.250104774437,2023-12-30 23:04:53
18,23.0,Adana,3399.8103890056955,2023-10-26 11:42:35
19,46.0,Gaziantep,8218.476880963444,2024-09-25 19:26:23
20,34.0,Ankara,19553.22218525565,2024-02-25 15:08:50
21,33.0,Gaziantep,3364.817109876236,2024-05-22 03:19:29
22,27.0,Konya,11503.847857922197,2023-05-24 20:44:56
23,50.0,Ankara,9681.586000752384,2025-01-23 09:53:02
24,33.0,Ankara,14934.864536472192,2025-07-21 18:34:54
25,30.0,Antalya,7652.449039978408,2025-01-13 05:36:41
26,31.0,Adana,7547.088083387589,2024-10-11 15:27:44
27,41.0,Adana,11049.715366956527,2023-11-19 23:46:18
28,39.0,Istanbul,23365.468661464143,2025-03-21 19:30:45
29,40.0,Antalya,6634.728291629603,2023-08-31 02:06:38
30,40.0,Unknown,8319.461426939479,2025-02-02 11:05:52
31,61.0,Ankara,7876.653500102417,2023-03-17 11:28:58
32,30.0,Istanbul,3223.1833964412217,2023-03-09 02:13:34
33,29.0,Antalya,4297.540520372919,2024-01-06 07:42:59
34,25.0,Istanbul,3661.090176733594,2024-01-29 23:59:34
35,42.0,Istanbul,9452.543628514939,2023-02-03 21:15:57
36,49.0,Istanbul,5805.371567409019,2025-08-22 22:41:27
37,34.0,Ankara,5560.03829280773,2023-04-16 14:19:09
38,25.0,Antalya,8957.269940178052,2023-05-06 03:19:53
39,25.0,Ankara,3999.6961474162895,2024-07-26 03:29:28
40,43.0,Bursa,6178.2402862029,2023-05-26 00:31:04
41,44.0,Adana,11093.878893792698,2023-04-04 18:00:19
42,42.0,Izmir,7313.646853820801,2025-04-11 14:10:17
43,27.0,Gaziantep,11278.590268228449,2023-09-15 04:04:40
44,38.0,Istanbul,2328.756055140269,2024-04-08 05:39:16
45,36.0,Unknown,7571.352669599863,2023-06-09 20:00:49
46,38.0,Istanbul,6867.756248474883,2023-01-22 11:55:56
47,45.0,Antalya,8720.130441786523,2024-02-11 23:22:30
48,38.0,Bursa,3035.4383254677423,2024-03-23 18:13:54
49,43.0,Ankara,4747.189007258905,2023-01-22 23:09:58
50,36.0,Istanbul,3272.002329618715,2023-09-19 02:54:55
51,38.0,Istanbul,5097.972656986159,2023-06-05 04:35:01
52,43.0,Konya,22203.823724275113,2024-05-30 01:07:39
53,18.0,Istanbul,5500.739736736009,2025-06-07 05:21:07
54,31.0,Antalya,3668.842578991155,2025-03-08 18:21:09
55,29.0,Istanbul,2991.1058345117476,2023-12-07 23:14:52
56,27.0,Bursa,4091.428835008465,2024-08-05 05:28:15
57,32.0,Istanbul,5880.749389392354,2024-12-03 02:48:57
58,53.0,Ankara,9833.536833776732,2023-06-10 14:35:30
59,25.0,Antalya,8904.704525932897,2024-08-18 16:53:14
60,47.0,Konya,10208.620679248115,2023-02-12 22:06:27
61,15.0,Unknown,12858.927723327846,2023-11-20 01:06:46
62,31.0,Gaziantep,10119.350708241946,2025-03-17 08:10:18
63,37.0,Ankara,11261.70904629748,2023-05-10 08:27:13
64,42.0,Istanbul,31663.885799333682,2023-06-13 03:09:54
65,44.0,Ankara,9076.398089902646,2025-03-26 14:14:41
66,45.0,Unknown,6865.646640844371,2023-04-10 03:14:11
67,31.0,Unknown,6663.393270533329,2023-12-19 04:07:59
68,29.0,Unknown,5137.674145113549,2024-12-29 13:34:44
